"Country.Name","Continent","GDP(log in billion)","FertilityRate","EducationSpend","RuralPop","ExpSchoolYear"
"Argentina","South America",5.8970263476716,2.43658333333333,4.70527718180702,4.68712165757849,17.516713142395
"Australia","Oceania",6.7971798035379,1.82545833333333,5.05760627985001,5.84195287622203,21.3169531141009
"Belarus","Europe",3.68484759091516,1.43170833333333,5.23994528452555,14.7694464846825,15.8470525741577
"Brazil","South America",7.25221503303476,2.02125,5.08032602071762,8.38273290612207,14.2481650114059
"Canada","North America",7.13198692090229,1.5678375,5.20886913935343,9.69315413901883,16.2793730006499
"Chile","South America",5.12843651758385,1.9415,3.8774923369998,5.94231660613512,14.8743765354157
"China","Asia",8.59906260897252,1.62854166666667,1.85691997408867,27.5501644651392,11.9247079849243
"Colombia","South America",5.3523845064891,2.23770833333333,4.29117521785554,12.4690072558783,13.3421071824573
"Congo, Rep.","Africa",2.15122545420117,4.76608333333333,3.90205000747334,20.0017699594292,9.06539026896157
"El Salvador","North America",2.84118284680441,2.59004166666667,3.58220000016062,19.7294539183688,12.0150789987473
"Fiji","Oceania",1.1867354528336,2.91508333333333,5.22575464615455,24.3169005362406,13.9260549545289
"Iceland","Europe",2.68856736409307,1.99791666666667,6.96782955256375,3.17161985773498,19.1056343576182
"Korea, Rep.","Asia",6.92828474314109,1.25995833333333,3.50148999691009,9.72729165956753,15.3506669998169
"Lithuania","Europe",3.4255316432467,1.47166666666667,4.95891904830933,17.3026681997539,16.160232424736
"Malaysia","Asia",5.31221382353259,2.42516666666667,5.34897433156553,16.9045529902857,13.0989675045014
"Mexico","North America",6.82401509138406,2.493,4.63415522802444,12.0444564296691,12.9464337428411
"New Zealand","Oceania",4.84191770946845,1.98625,6.37887902486892,6.81881980993819,19.039083480835
"Nicaragua","North America",2.09800845041016,2.84066666666667,3.40488803386688,21.2775420326463,11.1723499298096
"Niger","Africa",1.8590999993695,7.485375,2.97111948728561,41.4802471984331,3.93909157239474
"Papua New Guinea","Oceania",2.47581119837165,4.16216666666667,1.94791001081466,42.8695707560153,4.54643511772156
"Russian Federation","Europe",6.99371739455326,1.44445833333333,3.76445497785296,13.8600957480355,14.9167728424072
"Samoa","Oceania",-0.623219276151283,4.35870833333333,4.0955483118693,38.1754285259132,12.4324998855591
"Tanzania","Africa",3.34208456563775,5.48016666666667,3.50141156636752,37.3284224698845,7.31349284308297
"Thailand","Asia",5.62824772642364,1.60933333333333,4.1215884309066,30.833383782074,13.5644879341126
"Ukraine","Europe",4.58460789997057,1.33004166666667,5.61832685219614,17.1363306253587,14.6789755821228
"United States","North America",9.54225197535561,1.96172916666667,4.94639492034912,10.0408347198683,16.5566927302967
"Uruguay","South America",3.53106330274393,2.116875,3.16752641541617,2.96503041290112,15.7834986580743
"Zimbabwe","Africa",2.44934566097332,3.868,5.23978825410207,34.5874138889395,10.2883400235857
