"Country","Code","Score","Continent","educ1","emp1"
"Argentina","ARG",0.75,"South_America",110.281871795654,65.7337948806487
"Australia","AUS",0.854166666666667,"Oceania",101.382406616211,73.3424688907393
"Belarus","BLR",0.729166666666667,"Europe",100.317790222168,79.5731689312336
"Brazil","BRA",0.529166666666667,"South_America",163.020889282227,59.5926733148833
"Canada","CAN",1,"North_America",100.815910339356,79.502016743668
"Chile","CHL",0.722222222222222,"South_America",94.9663372039795,48.7932794241653
"China","CHN",0.729166666666667,"Asia",105.579893112183,85.5191964878702
"Colombia","COL",0.727777777777778,"South_America",117.796731948852,63.6510480987996
"Congo, Rep.","COG",0.604166666666667,"Africa",93.2374450683593,93.6178056909884
"El Salvador","SLV",0.802777777777778,"North_America",102.057911682129,53.3359083377385
"Fiji","FJI",0.7125,"Oceania",104.585778808594,49.0759482819341
"Iceland","ISL",0.9375,"Europe",98.8638565063477,86.0445433215278
"Japan","JPN",0.840277777777778,"Asia",NA,64.4458284228497
"Korea, Rep.","KOR",0.672222222222222,"Asia",104.285537719727,64.7414993006135
"Lithuania","LTU",0.775,"Europe",99.3211181640626,76.9288392928066
"Malaysia","MYS",0.590277777777778,"Asia",96.5864048004151,57.2909630892393
"Mexico","MEX",0.805555555555556,"North_America",106.928820800781,46.1443860981057
"New Zealand","NZL",0.954166666666667,"Oceania",100.903744506836,76.2033436182203
"Nicaragua","NIC",0.6875,"North_America",99.8137527465821,40.9702478915538
"Niger","NER",0.465277777777778,"Africa",22.4776481628418,76.6880297077834
"Nigeria","NGA",0.736111111111111,"Africa",79.1072743733724,84.1212219240061
"Papua New Guinea","PNG",0.75,"Oceania",61.7272396087646,96.6787333987971
"Russian Federation","RUS",0.7375,"Europe",104.952388763428,76.9168633613196
"Samoa","WSM",0.75,"Oceania",100.142756652832,57.270998449309
"Tanzania","TZA",0.8625,"Africa",67.9172805786133,93.9824735256264
"Thailand","THA",0.634722222222222,"Asia",94.1434059143067,80.8424231680129
"Ukraine","UKR",0.729166666666667,"Europe",114.16474533081,79.9099192591022
"United States","USA",0.916666666666667,"North_America",103.423131942749,78.7265326500609
"Uruguay","URY",0.773611111111111,"South_America",109.667678833008,66.0194600417335
"Zimbabwe","ZWE",0.844444444444444,"Africa",104.838012695312,82.1140339527662
